Angle,Distance,StartBit,Health
142.19,820.75,0.0,15.0
125.78,4779.75,0.0,15.0
154.0,831.5,0.0,15.0
27.19,11471.5,0.0,15.0
124.09,3974.75,1.0,15.0
168.09,895.0,1.0,37.0
170.27,899.5,0.0,15.0
171.47,906.5,0.0,15.0
172.61,14287.5,0.0,15.0
28.91,5880.25,0.0,21.0
177.8,1647.5,0.0,15.0
181.27,1668.75,0.0,15.0
194.42,10391.0,0.0,15.0
185.88,1810.25,0.0,15.0
193.89,1152.0,0.0,23.0
194.75,997.5,0.0,15.0
204.86,0.0,0.0,0.0
200.53,2824.75,0.0,15.0
86.06,14287.5,0.0,15.0
327.5,2138.0,0.0,25.0
216.39,506.25,0.0,15.0
221.11,4023.5,0.0,15.0
229.33,11229.0,0.0,15.0
234.05,13263.5,0.0,15.0
15.2,8143.5,0.0,29.0
124.05,7753.25,1.0,54.0
245.55,530.5,0.0,15.0
249.03,553.5,0.0,15.0
18.27,10191.5,0.0,31.0
256.8,688.25,0.0,15.0
267.48,0.0,0.0,0.0
116.06,8545.25,0.0,5.0
270.73,514.0,0.0,11.0
271.66,514.25,0.0,12.0
16.13,10443.5,1.0,34.0
278.7,494.5,1.0,34.0
288.56,0.0,0.0,0.0
112.28,591.5,0.0,35.0
291.03,4007.0,0.0,15.0
124.06,9571.75,1.0,2.0
308.59,0.0,0.0,11.0
125.78,9980.75,0.0,0.0
313.06,46.25,0.0,15.0
316.83,128.0,0.0,0.0
125.59,10516.25,0.0,15.0
333.38,3648.0,0.0,12.0
1.61,5967.5,0.0,11.0
337.73,804.0,0.0,6.0
339.06,1.5,0.0,15.0
343.42,454.0,0.0,15.0
347.38,5956.75,0.0,15.0
352.23,11756.25,0.0,15.0
13.38,9167.5,1.0,57.0
4.05,158.75,0.0,31.0
8.48,0.0,0.0,0.0
9.66,14415.5,0.0,0.0
8.69,6465.25,0.0,15.0
23.17,372.5,0.0,15.0
11.36,9551.5,0.0,3.0
124.03,1044.75,0.0,39.0
36.52,356.25,0.0,15.0
11.03,14799.5,1.0,1.0
124.03,1498.75,1.0,5.0
124.03,144.75,1.0,35.0
0.2,128.0,1.0,12.0
0.2,128.0,1.0,50.0
57.91,0.0,0.0,0.0
59.08,0.0,0.0,0.0
412.25,3969.25,0.0,0.0
390.22,1992.25,1.0,24.0
12.23,192.5,1.0,8.0
125.2,2241.75,0.0,0.0
77.86,50.5,0.0,15.0
81.44,3972.0,0.0,15.0
124.05,2743.75,1.0,44.0
124.05,2812.75,1.0,49.0
9.45,13512.5,0.0,15.0
104.86,0.0,0.0,0.0
106.03,0.0,0.0,0.0
0.41,128.0,0.0,0.0
111.89,0.0,0.0,0.0
106.72,846.5,0.0,15.0
107.95,8783.5,0.0,15.0
28.45,8462.0,0.0,13.0
117.34,908.0,0.0,15.0
124.09,13007.5,1.0,50.0
266.48,3971.25,1.0,24.0
26.09,5839.5,1.0,22.0
26.22,2383.5,0.0,16.0
137.33,826.5,0.0,15.0
139.78,10959.5,0.0,15.0
147.95,4018.0,0.0,15.0
152.7,824.5,0.0,15.0
124.09,4994.25,0.0,8.0
124.09,5032.25,1.0,6.0
159.66,842.75,0.0,2.0
160.83,847.0,0.0,15.0
164.25,860.75,0.0,15.0
447.52,15060.75,0.0,15.0
390.69,3974.25,1.0,61.0
184.56,1763.5,0.0,15.0
125.72,6015.75,0.0,15.0
100.16,934.25,1.0,62.0
196.98,3994.25,0.0,15.0
87.31,2127.5,1.0,25.0
207.78,2723.75,0.0,15.0
48.83,3970.0,1.0,20.0
124.05,6949.75,0.0,60.0
124.05,6985.25,0.0,54.0
124.05,7029.75,1.0,52.0
220.7,502.5,0.0,15.0
228.19,0.0,0.0,15.0
227.67,529.0,0.0,15.0
231.42,496.0,0.0,15.0
236.17,486.75,0.0,15.0
125.33,7671.75,0.0,15.0
244.34,525.0,0.0,15.0
247.59,540.5,0.0,15.0
404.91,3970.0,0.0,15.0
396.98,706.5,1.0,45.0
266.02,0.0,0.0,0.0
264.08,596.75,0.0,0.0
267.95,515.25,0.0,15.0
269.09,899.5,0.0,11.0
0.0,0.0,0.0
107.92,0.0,0.0,0.0
105.0,371.5,0.0,12.0
110.27,0.0,0.0,0.0
111.44,0.0,0.0,0.0
125.98,3588.25,0.0,13.0
125.22,3700.75,0.0,15.0
127.48,861.0,0.0,15.0
26.73,8271.5,0.0,15.0
138.2,13775.5,0.0,15.0
25.64,10191.5,0.0,17.0
148.78,818.75,0.0,15.0
149.94,14547.0,0.0,15.0
153.55,4025.75,0.0,15.0
26.06,1871.5,0.0,19.0
124.09,5097.25,0.0,7.0
124.09,5135.25,0.0,9.0
165.14,866.75,0.0,15.0
166.31,873.5,0.0,15.0
167.52,888.5,0.0,15.0
169.84,11007.5,0.0,15.0
28.81,4303.5,0.0,21.0
184.45,5760.0,0.0,15.0
185.45,1813.0,0.0,15.0
190.19,2511.5,0.0,15.0
205.61,0.0,0.0,0.0
206.8,3979.0,0.0,15.0
205.19,2738.5,0.0,55.0
84.59,15951.5,0.0,15.0
16.72,1999.5,0.0,15.0
17.25,6336.5,0.0,27.0
228.58,550.0,0.0,15.0
229.67,2837.75,0.0,15.0
233.8,444.0,0.0,15.0
234.97,14009.75,0.0,15.0
12.45,16207.5,0.0,15.0
124.03,8023.75,1.0,57.0
422.98,15567.5,1.0,11.0
143.0,129.5,1.0,30.0
266.78,8493.75,0.0,15.0
1.48,128.0,0.0,0.0
115.05,3983.75,1.0,34.0
273.27,4192.5,0.0,15.0
126.53,5583.5,1.0,34.0
219.69,3983.25,0.0,34.0
284.92,3599.25,0.0,15.0
124.06,9291.75,0.0,15.0
124.06,9330.75,1.0,48.0
124.06,9623.75,1.0,27.0
309.0,9920.0,0.0,0.0
312.3,173.25,0.0,10.0
316.06,0.0,0.0,0.0
320.75,0.0,0.0,0.0
321.94,0.0,0.0,0.0
323.11,0.0,0.0,0.0
57.23,3970.25,1.0,22.0
328.98,0.0,0.0,13.0
326.8,1364.25,0.0,12.0
332.05,538.75,0.0,9.0
338.41,0.0,0.0,7.0
339.59,0.0,0.0,15.0
334.92,656.5,0.0,15.0
335.56,4012.25,0.0,15.0
